# Exchange addresses scraped from Arkham Intelligence, CoinCarp, and BitInfoCharts
# Generated: 2026-03-11
# Total: 195 addresses across 12 entities
address,entity,source
bc1qukw69mjxwp30adfqddv6gcyva26laxz562rhlk,FTX,arkham-labeled
bc1qurrdysn094mnm08zzxruj3lrvr69jkk533ya8j,FTX,arkham-labeled
bc1qusgxl40caxnxgq6su7u35mn0php82500rpfpym,FTX,arkham-labeled
bc1quzfw4al7td84kpgezxez8xlqyysfm7jdsg3j3k,FTX,arkham-labeled
bc1qvg70jftf6wfmueeu8atnnemgcld4kt4khzfzxc,FTX,arkham-labeled
bc1qvrwzs8unvu35kcred2z5ujjef36s5jgf3y6tp8,FTX,arkham-labeled
bc1qvv9xcw7nn8p28u2n405v9hr83dqesvwq7ufhvh,FTX,arkham-labeled
bc1qw0p6r2utqr38qrqfnn9aflqkgm4g60t3ynuvg3,FTX,arkham-labeled
bc1qws342rlkhszh58rtn35zrw7w076puz83gkcufy,FTX,arkham-labeled
bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjtpd9l,FTX,arkham-labeled
bc1qx9n80t5q7tfmutzaj0ramzzzsvtveara68zntc,FTX,arkham-labeled
bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,FTX,arkham-labeled
bc1qxkhwkn623l5lg4rx9vx8cujmleaga0eg6wc7p6,FTX,arkham-labeled
bc1qxlth5har0qasqvattsjvgp80st2x402u5shuud,FTX,arkham-labeled
bc1qxppc3wg9tupkgplurjvsfh3908h8s6mq7mc37e,FTX,arkham-labeled
bc1qy3uw2kk45uj9vsy52rjfhydm2tnd6hreu8vha3,FTX,arkham-labeled
bc1qyg2240stkuavy86zp5k706har5948zcr27l20y7q5k5mtm6lt4sqgdqnnn,FTX,arkham-labeled
bc1qylnfznlt6tqdj263cyh029p8dk3jjcf77gltan,FTX,arkham-labeled
bc1qysj2w7xsw09datsy9mt9x50jn7qjd6qde6d66qm3ce0a4y9uzdpqcavdr0,FTX,arkham-labeled
# Garantex (14 addresses)
12z8o8fztru7p3ZqRfyjR6y14N9pXBsjmA,Garantex,arkham-labeled
1748FnCiLpSEZMg2WWysQdBozaK3d7Cx8T,Garantex,arkham-labeled
1BCVCvUruev37V7h3U34KwWhdT5siQAdcc,Garantex,arkham-labeled
1EphtphsJH8UeseXKXDEbvBpxxBMwpGX6K,Garantex,arkham-labeled
1F14UUkDJibZL1J8w5GMfhAu84EERdJShN,Garantex,arkham-labeled
31qoZHENnPxmX3QSNGfjU3oscPRwoSDT1S,Garantex,arkham-labeled
35zmAW32jwFkirDPbzvYvzznYeCVB4C6SD,Garantex,arkham-labeled
366Zvte9HT2764KdWcF55at1D8PSP1919v,Garantex,arkham-labeled
38Yahg3NPeex5aoHjYzJmk3zfzSd5NeSB2,Garantex,arkham-labeled
38gHiR726pWspUHgHoCcHhfuVZTkHdAy1Q,Garantex,arkham-labeled
3CRVYRDUh2wv8Xg4y8NZrm5mbwvEQadJbW,Garantex,arkham-labeled
3HemupHqq87JWkhNhVd1FP76UFhpDcQxh5,Garantex,arkham-labeled
3R2BE9yAQzRSdhakNg2p5QKrHiaACCEajh,Garantex,arkham-labeled
bc1pk0wwp42srzytey596s7yw7rjkftur4490gjtwx9cxg84ccuhhpfqgpcu2c,Garantex,arkham-labeled
# WazirX (18 addresses)
3Ck4e1729g5EgPSLzMGaMz2WQYH5JZXNaQ,WazirX,arkham-labeled
3Hr2TnUwqmw8g6hUCW4DXWQKuzHXjnkJRZ,WazirX,arkham-labeled
3MhBDjqPLoqiLJCWvyG5AeqyymQHxMFww3,WazirX,arkham-labeled
bc1q2kcujese85rtxy9n73tep5tc6vh6e79ap7yafk,WazirX,arkham-labeled
bc1q2zq38udfgky82deca0crlmexy0vext5ds9kpc3,WazirX,arkham-labeled
bc1q4h603sfzlhhqd4d46095y982ms3pxq7ptxg58e,WazirX,arkham-labeled
bc1q4nrtanmceq7j4ekyfqat26ewe3dua7vlxnmj6j,WazirX,arkham-labeled
bc1q7y7xknz3w897umv8jmxx0he7tza6lfzk0cf4lj,WazirX,arkham-labeled
bc1q8h42hwg00ud5pruyux8pwfzdmkgc5jxux2pp6w,WazirX,arkham-labeled
bc1q9hcayf9z9png6kj8q0wywzzlpmjpt96wytrd2f,WazirX,arkham-labeled
bc1qj0d5gnzhxsm486ja5xyrg75ley7e6xjkcwg0c2,WazirX,arkham-labeled
bc1ql8rh5ghzxgsdugzakug66yw3758dc3zjuzxwsx,WazirX,arkham-labeled
bc1qlvqqtfk8u9t0xe7lqapspyk9efue8dmxrczagm,WazirX,arkham-labeled
bc1qn6ugjujtrpn2vyy4nvupurtvr7ay5893wyaqzm,WazirX,arkham-labeled
bc1qqxjelp9fk6klyaf4znhuxxvkchmjx9js4n7ads4jzh3w5ufv9pwq5xt5gj,WazirX,arkham-labeled
bc1qsy0jdqsgd3ngmtt3aaw0vsu5n5l806mxh82f3f,WazirX,arkham-labeled
bc1qt5u57jd4mmymg6jxx08g7sdpt7z5cz5k4ec6gn,WazirX,arkham-labeled
bc1qvl8hxdmh4mrmgt475ml97h62xwejq8jg5hsurk,WazirX,arkham-labeled
# Bitfinex - round 2 (3 addresses)
3D5taq3nzuZRdWjdayiXb1ZvREgx6ErCZs,Bitfinex,arkham-labeled
3Dv4fzkNS4ZZcxcZoEi22kYeuRrcTncvTd,Bitfinex,arkham-labeled
bc1q4c8znqpd34vckhvf6dwdfzpzrepsn804pxanu8,Bitfinex,arkham-labeled
